start_location_x,start_location_y,cluster_label
121.466,31.218,1
121.365,31.261,3
121.477,31.183,1
121.459,31.258,0
121.431,31.247,0
121.519,31.313,2
121.438,31.286,0
121.445,31.214,1
121.5,31.181,1
121.514,31.307,2
121.431,31.201,1
121.361,31.358,3
121.442,31.229,0
121.487,31.228,1
121.311,31.309,3
121.467,31.319,5
121.505,31.303,2
121.411,31.281,0
121.484,31.248,1
121.463,31.181,1
121.456,31.271,0
121.481,31.258,0
121.43,31.198,4
121.487,31.241,1
121.474,31.308,5
121.458,31.313,5
121.405,31.274,0
121.54,31.311,2
121.458,31.298,5
121.369,31.255,3
121.441,31.24,0
121.384,31.242,3
121.425,31.236,0
121.479,31.272,0
121.319,31.288,3
121.483,31.202,1
121.546,31.291,2
121.405,31.162,4
121.457,31.226,1
121.433,31.134,4
121.411,31.231,0
121.438,31.189,1
121.404,31.239,0
121.421,31.141,4
121.474,31.294,5
121.436,31.183,4
121.485,31.218,1
121.518,31.287,2
121.497,31.314,5
121.538,31.205,1
121.543,31.275,2
121.344,31.26,3
121.503,31.263,2
121.49,31.262,2
121.482,31.282,5
121.549,31.289,2
121.413,31.17,4
121.383,31.255,3
121.446,31.191,1
121.423,31.123,4
121.525,31.316,2
121.448,31.312,5
121.513,31.31,2
121.526,31.287,2
121.311,31.243,3
121.55,31.269,2
121.383,31.221,3
121.436,31.225,0
121.352,31.347,3
121.431,31.136,4
121.523,31.264,2
121.475,31.214,1
121.478,31.27,0
121.492,31.342,5
121.503,31.285,2
121.441,31.194,1
121.348,31.265,3
121.492,31.336,5
121.457,31.225,1
121.358,31.215,3
121.483,31.232,1
121.471,31.205,1
121.562,31.213,1
121.44,31.236,0
121.352,31.266,3
121.446,31.203,1
121.4,31.289,0
121.298,31.313,3
121.475,31.3,5
121.438,31.197,1
121.549,31.226,2
121.662,31.206,2
121.505,31.274,2
121.436,31.318,5
121.436,31.142,4
121.401,31.291,0
121.433,31.259,0
121.363,31.236,3
121.503,31.263,2
121.427,31.281,0
121.4,31.241,0
121.421,31.285,0
121.441,31.188,1
121.449,31.188,1
121.537,31.205,1
121.436,31.264,0
121.439,31.229,0
121.415,31.27,0
121.381,31.314,3
121.449,31.308,5
121.333,31.168,4
121.424,31.203,4
121.399,31.281,0
121.474,31.297,5
121.394,31.221,3
121.452,31.182,1
121.538,31.319,2
121.522,31.283,2
121.478,31.286,5
121.429,31.233,0
121.46,31.223,1
121.485,31.306,5
121.421,31.285,0
121.477,31.225,1
121.421,31.284,0
121.444,31.208,1
121.52,31.314,2
121.446,31.319,5
121.352,31.153,4
121.507,31.281,2
121.435,31.238,0
121.48,31.205,1
121.366,31.276,3
121.332,31.264,3
121.504,31.305,2
121.375,31.236,3
121.428,31.167,4
121.526,31.308,2
121.521,31.315,2
121.543,31.273,2
121.48,31.297,5
121.431,31.151,4
121.534,31.284,2
121.343,31.291,3
121.321,31.24,3
121.468,31.263,0
121.442,31.203,1
121.507,31.313,2
121.49,31.294,2
121.491,31.248,1
121.435,31.124,4
121.516,31.305,2
121.434,31.133,4
121.482,31.195,1
121.467,31.263,0
121.33,31.123,4
121.531,31.315,2
121.421,31.285,0
121.451,31.282,0
121.384,31.249,3
121.442,31.323,5
121.536,31.317,2
121.51,31.269,2
121.512,31.302,2
121.481,31.295,5
121.34,31.266,3
121.506,31.269,2
121.458,31.259,0
121.485,31.252,1
121.458,31.215,1
121.409,31.147,4
121.464,31.194,1
121.514,31.301,2
121.468,31.264,0
121.528,31.331,2
121.423,31.273,0
121.373,31.344,3
121.477,31.252,0
121.516,31.283,2
121.482,31.262,0
121.326,31.299,3
121.359,31.259,3
121.311,31.239,3
121.513,31.311,2
121.398,31.299,0
121.516,31.3,2
121.48,31.269,0
121.458,31.259,0
121.498,31.272,2
121.452,31.347,5
121.374,31.108,4
121.322,31.298,3
121.511,31.302,2
121.492,31.268,2
121.305,31.266,3
121.507,31.291,2
121.458,31.259,0
121.509,31.252,2
121.481,31.265,0
121.506,31.311,2
121.475,31.23,1
121.554,31.285,2
121.489,31.201,1
121.431,31.197,4
121.522,31.283,2
121.447,31.201,1
121.413,31.269,0
121.554,31.304,2
121.53,31.286,2
121.576,31.242,2
121.451,31.423,5
121.506,31.329,5
121.511,31.259,2
121.409,31.178,4
121.385,31.227,3
121.454,31.14,4
121.454,31.268,0
121.504,31.236,1
121.453,31.206,1
121.496,31.247,1
121.44,31.295,5
121.375,31.237,3
121.519,31.282,2
121.419,31.138,4
121.485,31.303,5
121.366,31.352,3
121.445,31.379,5
121.553,31.28,2
121.543,31.26,2
121.532,31.313,2
121.459,31.33,5
121.518,31.286,2
121.434,31.201,1
121.35,31.281,3
121.428,31.25,0
121.297,31.203,3
121.422,31.158,4
121.491,31.345,5
121.534,31.328,2
121.407,31.172,4
121.531,31.314,2
121.439,31.164,4
121.47,31.285,5
121.359,31.151,4
121.478,31.203,1
121.365,31.276,3
121.541,31.318,2
121.518,31.304,2
121.459,31.235,0
121.438,31.238,0
121.339,31.252,3
121.482,31.223,1
121.497,31.307,2
121.536,31.264,2
121.463,31.265,0
121.483,31.261,0
121.442,31.163,4
121.378,31.155,4
121.361,31.204,3
121.453,31.334,5
121.593,31.282,2
121.415,31.267,0
121.456,31.173,1
121.394,31.282,3
121.444,31.249,0
121.446,31.261,0
121.349,31.26,3
121.445,31.166,4
121.355,31.23,3
121.274,31.173,3
121.456,31.17,1
121.385,31.252,3
121.534,31.328,2
121.468,31.229,1
121.501,31.279,2
121.474,31.399,5
121.447,31.319,5
121.49,31.331,5
121.522,31.312,2
121.461,31.192,1
121.487,31.202,1
121.435,31.202,1
121.351,31.133,4
121.532,31.323,2
121.37,31.356,3
121.513,31.26,2
121.468,31.187,1
121.451,31.167,1
121.529,31.283,2
121.461,31.269,0
121.514,31.281,2
121.408,31.357,5
121.377,31.272,3
121.477,31.211,1
121.538,31.232,2
121.593,31.285,2
121.479,31.267,0
121.538,31.291,2
121.381,31.194,4
121.331,31.268,3
121.443,31.157,4
121.493,31.174,1
121.518,31.275,2
121.476,31.27,0
121.537,31.314,2
121.535,31.3,2
121.479,31.227,1
121.451,31.194,1
121.399,31.244,0
121.57,31.254,2
121.447,31.198,1
121.354,31.226,3
121.481,31.306,5
121.523,31.322,2
121.505,31.264,2
121.506,31.336,5
121.471,31.202,1
121.424,31.249,0
121.406,31.329,5
121.508,31.297,2
121.534,31.287,2
121.515,31.29,2
121.357,31.407,5
121.471,31.22,1
121.363,31.281,3
121.455,31.313,5
121.459,31.29,5
121.405,31.334,5
121.531,31.315,2
121.515,31.3,2
121.511,31.331,2
121.4,31.29,0
121.477,31.297,5
121.376,31.245,3
121.385,31.165,4
121.412,31.177,4
121.508,31.312,2
121.422,31.301,5
121.448,31.283,0
121.506,31.329,5
121.474,31.206,1
121.315,31.247,3
121.384,31.191,4
121.442,31.187,1
121.359,31.259,3
121.391,31.356,5
121.488,31.271,2
121.434,31.275,0
121.52,31.269,2
121.386,31.32,3
121.357,31.242,3
121.442,31.178,4
121.519,31.241,2
121.475,31.241,1
121.342,31.151,4
121.32,31.241,3
121.44,31.134,4
121.446,31.287,0
121.554,31.287,2
121.392,31.054,4
121.41,31.226,0
121.53,31.166,1
121.398,31.288,0
121.331,31.24,3
121.478,31.238,1
121.439,31.24,0
121.55,31.192,1
121.413,31.195,4
121.522,31.261,2
121.367,31.228,3
121.529,31.335,2
121.507,31.303,2
121.415,31.197,4
121.423,31.264,0
121.485,31.278,2
121.489,31.264,2
121.465,31.306,5
121.532,31.269,2
121.476,31.199,1
121.518,31.252,2
121.407,31.326,5
121.506,31.329,5
121.481,31.25,0
121.488,31.262,2
121.48,31.32,5
121.437,31.149,4
121.483,31.257,0
121.434,31.174,4
121.482,31.235,1
121.446,31.173,4
121.47,31.288,5
121.557,31.271,2
121.429,31.246,0
121.422,31.171,4
121.456,31.271,0
121.449,31.335,5
121.459,31.226,1
121.491,31.292,2
121.4,31.288,0
121.491,31.305,5
121.471,31.232,1
121.406,31.25,0
121.447,31.345,5
121.416,31.282,0
121.458,31.267,0
121.542,31.311,2
121.41,31.196,4
121.469,31.21,1
121.497,31.255,2
121.476,31.209,1
121.383,31.246,3
121.479,31.234,1
121.43,31.148,4
121.52,31.289,2
121.507,31.215,1
121.508,31.291,2
121.479,31.304,5
121.312,31.269,3
121.538,31.264,2
121.381,31.231,3
121.493,31.212,1
